deflection,time
29.3,1606109384.466245
29.2,1606109385.818245
29.5,1606109386.038245
29.3,1606109387.141245
29.6,1606109388.053245
29.3,1606109388.274245
29.4,1606109388.494245
29.2,1606109388.938245
29.6,1606109389.159245
-10,1606109389.381245
-8.4,1606109389.602245
2.3,1606109389.853245
8.8,1606109390.074245
11.9,1606109390.295245
12.3,1606109390.515245
12.6,1606109390.736245
12.9,1606109391.178245
13.1,1606109391.400245
13.5,1606109391.622245
13.6,1606109392.093245
14.1,1606109392.756245
15.8,1606109392.977245
16.2,1606109393.197245
20.1,1606109393.638245
15.5,1606109393.889245
15.7,1606109394.107245
14.2,1606109394.329245
11.5,1606109394.550245
13.9,1606109394.771245
20.6,1606109395.210245
13.3,1606109395.432245
10.1,1606109395.652245
