sensors,temperature,humidity,count,time
"-273,-273,-273,-273,25.9,22.8,24.4,21.6",21,32,0,1606154759.745334
"-273,-273,-273,-273,25.9,22.8,24.4,21.5",21,32,0,1606154778.30535
"-273,-273,-273,-273,25.9,22.8,24.4,21.5",21,32,0,1606154796.865347
"-273,-273,-273,-273,25.9,22.8,24.4,21.5",21,32,0,1606154815.425339
"-273,-273,-273,-273,25.9,22.8,24.4,21.5",0,32,0,1606154833.985341
"-273,-273,-273,-273,25.9,22.8,24.4,21.5",21,32,0,1606154852.545415
"-273,-273,-273,-273,26,22.8,24.4,21.5",21,32,0,1606154871.105433
"-273,-273,-273,-273,26,22.8,24.4,21.5",21,32,0,1606154889.665343
"-273,-273,-273,-273,26,22.8,24.4,21.5",0,32,0,1606154908.225405
"-273,-273,-273,-273,26,22.8,24.4,21.5",21,32,0,1606154926.78534
"-273,-273,-273,-273,26,22.8,24.4,21.5",21,32,0,1606154945.345377
"-273,-273,-273,-273,26.1,22.8,24.4,21.5",21,32,0,1606154963.905348
"-273,-273,-273,-273,26.1,22.8,24.4,21.5",0,32,0,1606154982.46541
"-273,-273,-273,-273,26.1,22.8,24.4,21.5",21,32,0,1606155001.065622
"-273,-273,-273,-273,26.1,22.8,24.4,21.5",21,32,0,1606155019.585412
"-273,-273,-273,-273,26.1,22.8,24.4,21.5",21,32,0,1606155038.145364
"-273,-273,-273,-273,26.1,22.8,24.4,21.5",21,32,0,1606155056.70532
"-273,-273,-273,-273,26.1,22.8,24.4,21.5",0,32,0,1606155075.265497
"-273,-273,-273,-273,26.1,22.8,24.4,21.5",21,32,0,1606155093.82556
"-273,-273,-273,-273,26.2,22.8,24.4,21.5",21,32,0,1606155112.385569
"-273,-273,-273,-273,26.2,22.8,24.4,21.5",21,32,0,1606155130.985699
"-273,-273,-273,-273,26.2,22.8,24.4,21.5",21,32,0,1606155149.505443
"-273,-273,-273,-273,26.2,22.8,24.4,21.5",21,32,0,1606155168.065501
"-273,-273,-273,-273,26.2,22.8,24.4,21.5",21,32,0,1606155186.62542
